construct,sample,date,fitness,sci,gene,type,treat,rep,treat_numeric
wt Sanger2mut,100-1,2020-09-08,22.31,emma,wt,wt,0%,1,0
F random 25% rep 1,101,2020-09-08,20.5,emma,F,random,25%,1,0.25
F random 25% rep 2,102,2020-09-08,20.47,emma,F,random,25%,2,0.25
F random 25% rep 3,103,2020-09-08,20.42,emma,F,random,25%,3,0.25
F random 50% rep 1,104,2020-09-08,19.14,emma,F,random,50%,1,0.5
F random 50% rep 2,105,2020-09-08,19.04,emma,F,random,50%,2,0.5
F random 50% rep 3,106,2020-09-08,19.71,emma,F,random,50%,3,0.5
F random 75% rep 1,107,2020-09-08,15.01,emma,F,random,75%,1,0.75
wt Sanger2mut,100-1,2020-09-09,21.59,emma,wt,wt,0%,1,0
F random 25% rep 1,101,2020-09-09,20.04,emma,F,random,25%,1,0.25
F random 25% rep 2,102,2020-09-09,20.85,emma,F,random,25%,2,0.25
F random 25% rep 3,103,2020-09-09,19.87,emma,F,random,25%,3,0.25
F random 50% rep 1,104,2020-09-09,20.14,emma,F,random,50%,1,0.5
F random 50% rep 2,105,2020-09-09,19.35,emma,F,random,50%,2,0.5
F random 50% rep 3,106,2020-09-09,20.14,emma,F,random,50%,3,0.5
F random 75% rep 1,107,2020-09-09,15.97,emma,F,random,75%,1,0.75
wt Sanger2mut,100-1,2020-09-10,21.19,emma,wt,wt,0%,1,0
F random 25% rep 1,101,2020-09-10,21.32,emma,F,random,25%,1,0.25
F random 25% rep 2,102,2020-09-10,19.9,emma,F,random,25%,2,0.25
F random 25% rep 3,103,2020-09-10,20.44,emma,F,random,25%,3,0.25
F random 50% rep 1,104,2020-09-10,20.57,emma,F,random,50%,1,0.5
F random 50% rep 2,105,2020-09-10,18.75,emma,F,random,50%,2,0.5
F random 50% rep 3,106,2020-09-10,20.03,emma,F,random,50%,3,0.5
F random 75% rep 1,107,2020-09-10,14.79,emma,F,random,75%,1,0.75
wt Sanger2mut,100-1,2020-09-13,21.54,emma,wt,wt,0%,1,0
F random 75% rep 2,108,2020-09-13,18.05,emma,F,random,75%,2,0.75
F random 100% rep 1,110,2020-09-13,14.39,emma,F,random,100%,1,1
