"","V1","V2"
"F_0.25_shuffle_318","-366.9","F_0.25_shuffle_318"
"F_0.25_shuffle_505","-363.4","F_0.25_shuffle_505"
"F_0.25_shuffle_630","-363.1","F_0.25_shuffle_630"
"F_0.5_shuffle_424","-360.5","F_0.5_shuffle_424"
"F_0.5_shuffle_8","-359","F_0.5_shuffle_8"
"F_0.5_shuffle_502","-368.2","F_0.5_shuffle_502"
"F_0.75_shuffle_60","-336","F_0.75_shuffle_60"
"F_0.75_shuffle_482","-361.9","F_0.75_shuffle_482"
"F_0.75_shuffle_756","-349.5","F_0.75_shuffle_756"
"F_1_shuffle_385","-344.1","F_1_shuffle_385"
"F_1_shuffle_89","-340.1","F_1_shuffle_89"
"F_1_shuffle_276","-345.9","F_1_shuffle_276"
"F_0.5_shuffle_low_209","-339.4","F_0.5_shuffle_low_209"
"F_0.5_shuffle_low_679","-343.2","F_0.5_shuffle_low_679"
"F_0.5_shuffle_low_937","-337.5","F_0.5_shuffle_low_937"
"F_0.5_shuffle_low_664","-339.6","F_0.5_shuffle_low_664"
"F_0.5_shuffle_high_787","-368.3","F_0.5_shuffle_high_787"
"F_0.5_shuffle_high_64","-369.1","F_0.5_shuffle_high_64"
"F_0.5_shuffle_high_717","-368.4","F_0.5_shuffle_high_717"
"F_0.5_shuffle_high_547","-369.3","F_0.5_shuffle_high_547"
"F_0.5_shuffle_extrahigh_690","-379.9","F_0.5_shuffle_extrahigh_690"
"F_0.5_shuffle_623","-379.3","F_0.5_shuffle_623"
